antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,all_zero_frac,seed
Erythromycin,0.7287873087534487,0.11224489795918367,random_seed8,misseeded_ciprofloxacin,0.15816135084427768,0.5277048155096935,0.16791744840525327,8
Clindamycin,0.5421705931314009,0.13333333333333333,random_seed8,misseeded_ciprofloxacin,0.15816135084427768,0.5277048155096935,0.16791744840525327,8
Oxacillin,0.8957826309722045,0.6463414634146342,random_seed8,misseeded_ciprofloxacin,0.15816135084427768,0.5277048155096935,0.16791744840525327,8
Penicillin,0.7432176797561414,0.8307322929171669,random_seed8,misseeded_ciprofloxacin,0.15816135084427768,0.5277048155096935,0.16791744840525327,8
Ciprofloxacin,0.7919663620139528,0.3904761904761905,random_seed8,misseeded_cipro_pen2,0.16116322701688554,0.5437148217636023,0.11163227016885553,8
Penicillin,0.7187511206741976,0.828505214368482,random_seed8,misseeded_cipro_pen2,0.16116322701688554,0.5437148217636023,0.11163227016885553,8
Erythromycin,0.7134562327564585,0.10309278350515463,random_seed8,misseeded_cipro_pen2,0.16116322701688554,0.5437148217636023,0.11163227016885553,8
Clindamycin,0.5289834618029168,0.12195121951219512,random_seed8,misseeded_cipro_pen2,0.16116322701688554,0.5437148217636023,0.11163227016885553,8
Oxacillin,0.8712426881858161,0.6548672566371682,random_seed8,misseeded_cipro_pen2,0.16116322701688554,0.5437148217636023,0.11163227016885553,8
Penicillin,0.739058564231738,0.8492063492063492,random_seed9,option_a,0.15084427767354597,0.5732176360225141,0.0900562851782364,9
Erythromycin,0.7348294390219855,0.12682926829268293,random_seed9,option_a,0.15084427767354597,0.5732176360225141,0.0900562851782364,9
Clindamycin,0.5621774966455817,0.12422360248447205,random_seed9,option_a,0.15084427767354597,0.5732176360225141,0.0900562851782364,9
Oxacillin,0.909807491499103,0.7025495750708215,random_seed9,option_a,0.15084427767354597,0.5732176360225141,0.0900562851782364,9
Ciprofloxacin,0.7696288209606986,0.4083769633507853,random_seed9,option_a,0.15084427767354597,0.5732176360225141,0.0900562851782364,9
Oxacillin,0.9060537096040054,0.6723646723646723,random_seed9,misseeded_oxacillin,0.14896810506566605,0.5635866166353971,0.1294559099437148,9
Erythromycin,0.7054187617075816,0.18009478672985782,random_seed9,misseeded_oxacillin,0.14896810506566605,0.5635866166353971,0.1294559099437148,9
Clindamycin,0.5854475752348094,0.16666666666666666,random_seed9,misseeded_oxacillin,0.14896810506566605,0.5635866166353971,0.1294559099437148,9
Penicillin,0.7718226774336938,0.8546511627906976,random_seed9,misseeded_oxacillin,0.14896810506566605,0.5635866166353971,0.1294559099437148,9
